"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"1423" "Turacoena_manadensis" 21.9 189.5 205.3 212.5 "arboreal" "Australasia" "measureB"
"1212" "Streptopelia_bitorquata" 19.32 121.72 167.72 160 "terrestrial" "Eurasia" "measureA"
"146" "Turtur_tympanistria" 17.52 77.92 110.72 71.5 "terrestrial" "Africa" "measureA"
"1011" "Patagioenas_speciosa" 17.8 116.5 184 287.5 "arboreal" "America" "measureB"
"115" "Ptilinopus_richardsii" 20.22 66.22 124.42 99 "arboreal" "Australasia" "measureA"
"1122" "Ptilinopus_occipitalis" 22.52 102.22 161.62 247.5 "arboreal" "Eurasia" "measureA"
"51" "Gallicolumba_xanthonura" 31.22 82.92 141.52 106 "arboreal" "Australasia" "measureA"
"251" "Drepanoptila_holosericea" 31.6 76.4 150.5 190 "arboreal" "Australasia" "measureB"
"17" "Columbina_cruziana" 8.82 31.92 82.42 47 "terrestrial" "America" "measureA"
"35" "Chalcophaps_indica" 21 86.4 150.1 131.5 "terrestrial" "Eurasia" "measureB"
"28" "Ducula_melanochroa" 38.12 139.42 237.32 661 "arboreal" "Australasia" "measureA"
"531" "Geopelia_striata" 15.1 94.1 105.9 56 "terrestrial" "Eurasia" "measureB"
"532" "Geopelia_striata" 16.32 98.62 102.62 56 "terrestrial" "Eurasia" "measureA"
"461" "Gallicolumba_rubescens" 24.1 72.9 120.7 60 "terrestrial" "Australasia" "measureB"
"492" "Gallicolumba_stairi" 31.12 95.82 148.72 171 "terrestrial" "Australasia" "measureA"
"801" "Leucosarcia_melanoleuca" 40.1 131 191.7 415 "terrestrial" "Australasia" "measureB"
