"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"143" "Turtur_afer" 21.32 87.72 112.52 63.5 "terrestrial" "Africa" "measureA"
"1181" "Ptilinopus_superbus" 24 64.2 132 118 "arboreal" "Australasia" "measureB"
"1353" "Streptopelia_vinacea" 22 97.2 134.5 110.5 "terrestrial" "Africa" "measureB"
"211" "Columbina_picui" 9.9 52.9 96.7 52 "terrestrial" "America" "measureB"
"902" "Oena_capensis" 18.62 142.42 110.12 41 "terrestrial" "Africa" "measureA"
"193" "Columbina_minuta" 6.7 31.2 62.2 34 "terrestrial" "America" "measureB"
"811" "Lopholaimus_antarcticus" 30.1 171.4 267.8 537.5 "arboreal" "Australasia" "measureB"
"55" "Geophaps_plumifera" 19.22 60.52 108.62 83 "terrestrial" "Australasia" "measureA"
"62" "Geotrygon_montana" 29.22 50.62 135.92 127.5 "terrestrial" "America" "measureA"
"1253" "Streptopelia_decipiens" 25 137.3 172.5 185 "terrestrial" "Africa" "measureB"
"783" "Leptotila_rufaxilla" 25.9 69.5 137 149 "terrestrial" "America" "measureB"
"1410" "Columba_rupestris" 22.8 110.7 224.5 245.5 "terrestrial" "Eurasia" "measureB"
"751" "Leptotila_jamaicensis" 26 62.4 158.5 190 "terrestrial" "America" "measureB"
"342" "Ducula_zoeae" 25.42 121.82 225.22 592 "arboreal" "Australasia" "measureA"
"612" "Geotrygon_lawrencii" 42.72 76.42 143.42 220 "terrestrial" "America" "measureA"
"1" "Alectroenas_madagascariensis" 38.32 101.42 178.92 173 "arboreal" "Africa" "measureA"
"81" "Lopholaimus_antarcticus" 30.02 168.12 266.52 537.5 "arboreal" "Australasia" "measureA"
"651" "Geotrygon_veraguensis" 34.4 34.1 193.3 155 "terrestrial" "America" "measureB"
"64" "Geotrygon_saphirina" 29.32 20.62 136.22 203 "terrestrial" "America" "measureA"
"313" "Ducula_pistrinaria" 27.2 138.9 240.2 485 "arboreal" "Australasia" "measureB"
"142" "Turacoena_manadensis" 12.32 187.12 210.02 212.5 "arboreal" "Australasia" "measureA"
"1363" "Treron_australis" 40.6 121.7 176.8 210 "arboreal" "Africa" "measureB"
"111" "Columba_oenas" 31.9 111.1 219.9 303.5 "terrestrial" "Eurasia" "measureB"
"533" "Geopelia_striata" 23 92.4 96.7 56 "terrestrial" "Eurasia" "measureB"
"1003" "Patagioenas_plumbea" 23 151.1 184.4 170 "arboreal" "America" "measureB"
"262" "Ducula_aenea" 30.32 131.02 234.72 549.5 "arboreal" "Eurasia" "measureA"
"89" "Columba_guinea" 27.92 114.52 227.62 300 "terrestrial" "Africa" "measureA"
"31" "Ducula_pistrinaria" 31.02 138.32 240.02 485 "arboreal" "Australasia" "measureA"
"552" "Geophaps_plumifera" 20.32 65.22 108.32 83 "terrestrial" "Australasia" "measureA"
"1541" "Zenaida_meloda" 24.8 84.3 166.3 209.5 "terrestrial" "America" "measureB"
"1282" "Streptopelia_orientalis" 23.02 116.62 189.42 219.5 "terrestrial" "Eurasia" "measureA"
"1543" "Zenaida_meloda" 30.6 82.8 164.9 209.5 "terrestrial" "America" "measureB"
"363" "Gallicolumba_beccarii" 26 59.5 104.7 81.5 "terrestrial" "Australasia" "measureB"
"37" "Chalcophaps_indica" 18.92 86.92 148.62 131.5 "terrestrial" "Eurasia" "measureA"
"1172" "Ptilinopus_solomonensis" 12.32 67.82 123.02 97.5 "arboreal" "Australasia" "measureA"
"582" "Geotrygon_costaricensis" 45.42 75.42 139.02 277.5 "terrestrial" "America" "measureA"
"1502" "Zenaida_aurita" 25.82 83.12 159.12 150 "terrestrial" "America" "measureA"
"1131" "Ptilinopus_pulchellus" 14.4 58.6 110.1 72 "arboreal" "Australasia" "measureB"
"1261" "Streptopelia_hypopyrrha" 23.9 122 176.4 162 "terrestrial" "Africa" "measureB"
"136" "Treron_australis" 35.52 124.72 171.52 210 "arboreal" "Africa" "measureA"
"1393" "Treron_vernans" 17.1 80.4 149.6 132.5 "arboreal" "Eurasia" "measureB"
"333" "Ducula_rufigaster" 31.4 111.9 206.1 498 "arboreal" "Australasia" "measureB"
"1532" "Zenaida_macroura" 19.92 88.12 134.82 135 "terrestrial" "America" "measureA"
"72" "Hemiphaga_novaeseelandiae" 36.42 181.52 254.62 725 "arboreal" "Australasia" "measureA"
"101" "Patagioenas_speciosa" 19.92 118.62 183.32 287.5 "arboreal" "America" "measureA"
"151" "Zenaida_galapagoensis" 25.82 42.82 142.52 79.5 "terrestrial" "America" "measureA"
"202" "Columbina_passerina" 9.12 25.32 74.42 32 "terrestrial" "America" "measureA"
"1443" "Turtur_brehmeri" 24.1 101.9 133.5 112.5 "terrestrial" "Africa" "measureB"
"1542" "Zenaida_meloda" 30.12 85.72 165.12 209.5 "terrestrial" "America" "measureA"
"621" "Geotrygon_montana" 26.7 57.7 144.7 127.5 "terrestrial" "America" "measureB"
"502" "Gallicolumba_tristigmata" 36.42 114.02 173.12 275 "terrestrial" "Australasia" "measureA"
"263" "Ducula_aenea" 30.7 134 235.4 549.5 "arboreal" "Eurasia" "measureB"
"521" "Geopelia_cuneata" 14.4 98.2 95.9 30 "terrestrial" "Australasia" "measureB"
"723" "Hemiphaga_novaeseelandiae" 32.7 182 255.1 725 "arboreal" "Australasia" "measureB"
"1493" "Zenaida_auriculata" 30.1 86.3 146.3 150 "terrestrial" "America" "measureB"
"66" "Geotrygon_versicolor" 30.22 53.52 171.22 225 "terrestrial" "America" "measureA"
"511" "Gallicolumba_xanthonura" 29.3 82.1 143.6 106 "arboreal" "Australasia" "measureB"
